,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
0,7590-vhveg,female,0,1,0,1,0,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,1,electronic_check,29.85,29.85,0
1,5575-gnvde,male,0,0,0,34,1,no,dsl,yes,no,yes,no,no,no,one_year,0,mailed_check,56.95,1889.5,0
2,3668-qpybk,male,0,0,0,2,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,mailed_check,53.85,108.15,1
3,7795-cfocw,male,0,0,0,45,0,no_phone_service,dsl,yes,no,yes,yes,no,no,one_year,0,bank_transfer_(automatic),42.3,1840.75,0
4,9237-hqitu,female,0,0,0,2,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,70.7,151.65,1
5,9305-cdskc,female,0,0,0,8,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,electronic_check,99.65,820.5,1
6,1452-kiovk,male,0,0,1,22,1,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,1,credit_card_(automatic),89.1,1949.4,0
7,6713-okomc,female,0,0,0,10,0,no_phone_service,dsl,yes,no,no,no,no,no,month-to-month,0,mailed_check,29.75,301.9,0
8,7892-pookp,female,0,1,0,28,1,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic_check,104.8,3046.05,1
9,6388-tabgu,male,0,0,1,62,1,no,dsl,yes,yes,no,no,no,no,one_year,0,bank_transfer_(automatic),56.15,3487.95,0
10,9763-grskd,male,0,1,1,13,1,no,dsl,yes,no,no,no,no,no,month-to-month,1,mailed_check,49.95,587.45,0
11,7469-lkbci,male,0,0,0,16,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,credit_card_(automatic),18.95,326.8,0
12,8091-ttvax,male,0,1,0,58,1,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,0,credit_card_(automatic),100.35,5681.1,0
13,0280-xjgex,male,0,0,0,49,1,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,bank_transfer_(automatic),103.7,5036.3,1
14,5129-jlpis,male,0,0,0,25,1,no,fiber_optic,yes,no,yes,yes,yes,yes,month-to-month,1,electronic_check,105.5,2686.05,0
15,3655-snqyz,female,0,1,1,69,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,0,credit_card_(automatic),113.25,7895.15,0
16,8191-xwszg,female,0,0,0,52,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.65,1022.95,0
17,9959-wofkt,male,0,0,1,71,1,yes,fiber_optic,yes,no,yes,no,yes,yes,two_year,0,bank_transfer_(automatic),106.7,7382.25,0
18,4190-mfluw,female,0,1,1,10,1,no,dsl,no,no,yes,yes,no,no,month-to-month,0,credit_card_(automatic),55.2,528.35,1
19,4183-myfrb,female,0,0,0,21,1,no,fiber_optic,no,yes,yes,no,no,yes,month-to-month,1,electronic_check,90.05,1862.9,0
20,8779-qrdmv,male,1,0,0,1,0,no_phone_service,dsl,no,no,yes,no,no,yes,month-to-month,1,electronic_check,39.65,39.65,1
21,1680-vdcww,male,0,1,0,12,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,bank_transfer_(automatic),19.8,202.25,0
22,1066-jksgk,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.15,20.15,1
23,3638-weabw,female,0,1,0,58,1,yes,dsl,no,yes,no,yes,no,no,two_year,1,credit_card_(automatic),59.9,3505.1,0
24,6322-hrpfa,male,0,1,1,49,1,no,dsl,yes,yes,no,yes,no,no,month-to-month,0,credit_card_(automatic),59.6,2970.3,0
25,6865-jznko,female,0,0,0,30,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,bank_transfer_(automatic),55.3,1530.6,0
